------------------------------------------------------------------------XXXXXXXXXXXXX-------XXXXXXXXXXXXX---XXXXXXXXXXXXXXXXXXXXX
------------------------------------------------------------------------X...........X-------X...........X---X...............>...X
------------------------------------------------------------------------X...........X-------X...........X---X...............>...X
------------------------------------------------------------------------X...........X-------X...........X---X...............>...X
------------------------------------------------------------------------X.......K...X-------X...K.......XXXXX...............>...X
------------------------------------------------------------------------X...........X-------X...........L...L...............>:..X
------------------------------------------------------------------------X...........X-------X...........L...L...............>...X
------------------------------------------------------------------------X...........X-------X...........L...L...............>...X
------------------------------------------------------------------------X...........X-------X...........XXXXX...............>...X
------------------------------------------------------------------------X...........X-------X...........X---X...............>...X
------------------------------------------------------------------------X...........X-------X...........X---X...............>...X
------------------------------------------------------------------------X...........X-------X...........X---X...............>...X
------------------------------------------------------------------------XXXXXLLLXXXXX-------XXXXXLLLXXXXX---XXXXXXXXXXXXXXXXXXXXX
----------------------------------------------------------------------------X...X---------------X...X----------------------------
------------------------------------------------------------------XXXXXXWXXXXLLLXXXXXXXXXXXXXXXWXLLLXXXXXXXXXXX------------------
------------------------------------------------------------------X.....,WW..T.WW.,.....,.....,WW.:..WW.,.....X------------------
----X...X-----------X...X-----------X.......................X---X...........,...,.......,.......,...,...........X----------------
XXXXX+++XXXXX---XXXXX+++XXXXX-------X...:...:...:...:...:...X---X...........,...,.......,.......,...,...........X----------------
X...........X---X...........X-------X.......................X---X...........,...,.......,.......,...,...........X----------------
X...........X---X...........X-------X.......................X---X...........,...,.......,.......,...,...........X----------------
X...........X---X...........X-------X.......................X---X...........,...,.......,.......,...,...........X----------------
X...:...B...XXXXX...:...H...XXXXX---X...:...................XXXXX...,,,,,...,...,.......,.......,...,...........X----------------
X...........+...+...........,...X---X.......................,...,...,...,...,...,.......,.......,...,...........X----------------
X...........+...+...........,...X---X.......................,...,...,...,...,.E.,.......,.......,.E.,...........X----------------
X...........+...+...........,...X---X.......................,...,...,...,...,...,.......,.......,...,...........X----------------
X...A...H...XXXXX...H...:...XXXXX---X...:...................XXXXX...,,,,,...,...,.......,.......,...,...........X----------------
X...........X---X...........X-------X.......................X---X...........,...,.......,.......,...,...........X----------------
X...........X---X...........X-------X.......................X---X...........,...,.......,.......,...,...........X----------------
X...........X---X...........X-------X.......................X---X...........,...,.......,.......,...,...........X----------------
XXXXXXXXXXXXX---XXXXXXXXX+++X-------X...:...........:...:...X---X...........,...,.......,.......,...,...........X----------------
------------------------X...X-------X.......................X---X...........,...,.......,.......,...,...........X----------------
------------------------X...X-------X.......................X---X...........,...,.......,.......,...,...........X----------------
------------------------X...X-------X.......................X---X...........,...,.......,.......,...,...........X----------------
--------------------XXXXX+++XXXXX---X...:...........:.......X---X...........,...,.......,.......,...,...........X----------------
--------------------X...........X---X.......................X---X...........,...,.......,.......,...,...........X----------------
--------------------X...........X---X.......................X---X...........,...,.......,.......,...,...........X----------------
--------------------X...........X---X.......................X---X...........,...,.......,.......,...,...........X----------------
--------------------X...:...E...X---X...:...........:.......X---X...........,...,.......,.......,...,...........X----------------
--------------------X...........X---X.......................X---X...........,...,.......,.......,...,...........X----------------
--------------------X...........X---X.......................X---X...........,...,.......,.......,...,...........X----------------
--------------------X...........X---X.......................X---X...........,...,.......,.......,...,...........X----------------
--------------------X...W...:...X---X...:...........:.......X---X...........,...,.......,.......,...,...........X----------------
--------------------X...........X---X.......................X---X...........,...,.......,.......,...,...........X----------------
--------------------X...........X---X.......................X---X...........,...,.......,.......,...,...........X----------------
--------------------X...........X---X.......................X---X...........,...,.......,.......,...,...........X----------------
--------------------XXXXXXXXX+++X---XXXXXXXXX+++XXXXXXXXXXXXX---X...........,...,.......,.......,...,...........X----------------
----------------------------X...X-----------X...X---------------X...........,...,.......,.......,...,...........X----------------
----------------------------X...X-----------X...X---------------X...........,...,.......,.......,...,...........X----------------
----------------------------X...X-----------X...X---------------X...........,...,.......,.......,...,...........X----------------
------------------------XXXXX+++XXXXX---XXXXX+++XXXXX-----------X...:.......,...,.......,.......,...,...........X----------------
------------------------X...........X---X...........X-----------X...........,...,.......,.......,...,...........X----------------
------------------------X...........X---X...........X-----------X...........,...,.......,.......,...,...........X----------------
------------------------X...........X---X...........X-----------X...........,...,.......,.......,...,...........X----------------
------------------------X...W...W...XXXXX...,,,,,...X-----------X...........,...,.......,.......,...,...........X----------------
------------------------X...........+...+...,...,...X-----------X...........,...,.......,.......,...,...........X----------------
------------------------X...........+...+...,E..,...X-----------X...........,...,.......,.......,...,...........X----------------
------------------------X...........+...+...,...,...X-----------X...........,...,.......,.......,...,...........X----------------
------------------------X...W...W...XXXXX...,,,,,...X-----------X...........,...,.......,.......,...,...........X----------------
------------------------X...........X---X...........X-----------X...........,...,.......,.......,...,...........X----------------
------------------------X...........X---X...........X-----------X...........,...,.......,.......,...,...........X----------------
------------------------X...........X---X...........X-----------X...........,...,.......,.......,...,...........X----------------
------------------------XXXXXXXXXXXXX---XXXXXXXXXXXXX-----------X...........,...,.......,.......,...,...........X----------------
----------------------------------------------------------------X...........,...,.......,.......,...,...........X----------------
----------------------------------------------------------------X...........,...,.......,.......,...,...........X----------------
----------------------------------------------------------------X...........,...,.......,.......,...,...........X----------------
----------------------------------------------------------------X...........,...,.......,.......,...,...........X----------------
----------------------------------------------------------------X...........,...,.......,.......,...,...........X----------------
----------------------------------------------------------------X...........,...,.......,.......,...,...........X----------------
----------------------------------------------------------------X...........,...,.......,.......,...,...........X----------------
----------------------------------------------------------------X...........,...,.......,.......,...,...........X----------------
----------------------------------------------------------------X...........,...,.......,.......,...,...........X----------------
----------------------------------------------------------------X...........,...,.......,.......,...,...........X----------------
----------------------------------------------------------------X...........,...,.......,.......,...,...........X----------------
----------------------------------------------------------------X...........,...,.......,.......,...,...........X----------------
----------------------------------------------------------------X...........,...,.......,.......,...,...........X----------------
----------------------------------------------------------------X...........,...,.......,.......,...,...........X----------------
----------------------------------------------------------------X...........,...,.......,.......,...,...........X----------------
----------------------------------------------------------------X...........,...,.......,.......,...,...........X----------------
----------------------------------------------------------------X...........,...,.......,.......,...,...........X----------------
----------------------------------------------------------------X...........,...,.......,.......,...,...........X----------------
----------------------------------------------------------------X...........,...,.......,.......,...,...........X----------------
----------------------------------------------------------------X...........,...,.......,.......,...,...........X----------------
----------------------------------------------------------------X...........,...,.......,.......,...,...........X----------------
----------------------------------------------------------------X...........,...,.......,.......,...,...........X----------------
----------------------------------------------------------------X...........,...,.......,.......,...,...........X----------------
----------------------------------------------------------------X...........,,,,,.......,.......,,,,,...........X----------------
----------------------------------------------------------------X...........,...,.......,.......,...,...........X----------------
----------------------------------------------------------------X...........,...,.......,.......,...,...........X----------------
----------------------------------------------------------------X...........,...,.......,.......,...,...........X----------------
----------------------------------------------------------------XXXXXXXXXXXXX,,,XXXXXXXXXXXXXXXXX,,,XXXXXXXXXXXXX----------------
----------------------------------------------------------------------------X...X---------------X...X----------------------------
----------------------------------------------------------------------------X...X---------------X...X----------------------------
----------------------------------------------------------------------------X...X---------------X...X----------------------------
----------------------------------------------------------------------------X...XXXXXXXXX-------X...X----------------------------
----------------------------------------------------------------------------X...,...H...X-------X...X----------------------------
----------------------------------------------------------------------------X...,.......X-------X...X----------------------------
----------------------------------------------------------------------------X...,.......X-------X...X----------------------------
----------------------------------------------------------------------------X...XXXXXXXXXXXXXXXXX...X----------------------------
----------------------------------------------------------------------------X...X-------X.......,...X----------------------------
----------------------------------------------------------------------------X...X-------X.H.....,...X----------------------------
----------------------------------------------------------------------------X...X-------X.......,...X----------------------------
----------------------------------------------------------------------------X...XXXXXXXXXXXXXXXXX...X----------------------------
----------------------------------------------------------------------------X...,.......X-------X...X----------------------------
----------------------------------------------------------------------------X...,....W..X-------X...X----------------------------
----------------------------------------------------------------------------X...,.......X-------X...X----------------------------
----------------------------------------------------------------------------X...XXXXXXXXXXXXXXXXX...X----------------------------
----------------------------------------------------------------------------X...X-------X.......,...X----------------------------
----------------------------------------------------------------------------X...X-------X.W.....,...X----------------------------
----------------------------------------------------------------------------X...X-------X.......,...X----------------------------
----------------------------------------------------------------------------X...XXXXXXXXXXXXXXXXX...X----------------------------
----------------------------------------------------------------------------X...,..W....X-------X...X----------------------------
----------------------------------------------------------------------------X...,.......X-------X...X----------------------------
----------------------------------------------------------------------------X...,.......X-------X...X----------------------------
----------------------------------------------------------------------------X...XXXXXXXXXXXXXXXXX...X----------------------------
----------------------------------------------------------------------------X...X-------X.......,...X----------------------------
----------------------------------------------------------------------------X...X-------X.W.....,...X----------------------------
----------------------------------------------------------------------------X...X-------X.......,...X----------------------------
----------------------------------------------------------------------------X...XXXXXXXXXXXXXXXXX...X----------------------------
----------------------------------------------------------------------------X...,.......X-------X...X----------------------------
----------------------------------------------------------------------------X...,.W.....X-------X...X----------------------------
----------------------------------------------------------------------------X...,.......X-------X...X----------------------------
----------------------------------------------------------------------------X...XXXXXXXXXXXXXXXXX...X----------------------------
----------------------------------------------------------------------------X...X-------X.......,...X----------------------------
----------------------------------------------------------------------------X...X-------X..W....,...X----------------------------
----------------------------------------------------------------------------X...X-------X.......,...X----------------------------
----------------------------------------------------------------------------X...XXXXXXXXXXXXXXXXX...X----------------------------
----------------------------------------------------------------------------X...,.......X-------X...X----------------------------
----------------------------------------------------------------------------X...,.:.....X-------X...X----------------------------
----------------------------------------------------------------------------X...,.......X-------X...X----------------------------
----------------------------------------------------------------------------X...XXXXXXXXXXXXXXXXX...X----------------------------
----------------------------------------------------------------------------X...X-------XW......,...X----------------------------
----------------------------------------------------------------------------X...X-------X.......,...X----------------------------
----------------------------------------------------------------------------X...X-------X.......,...X----------------------------
----------------------------------------------------------------------------X...XXXXXXXXXXXXXXXXX...X----------------------------
----------------------------------------------------------------------------X...,.......X-------X...X----------------------------
----------------------------------------------------------------------------X...,.W.....X-------X...X----------------------------
----------------------------------------------------------------------------X...,.......X-------X...X----------------------------
----------------------------------------------------------------------------X...XXXXXXXXXXXXXXXXX...X----------------------------
----------------------------------------------------------------------------X...X-------X.......,...X----------------------------
----------------------------------------------------------------------------X...X-------X.W.....,...X----------------------------
----------------------------------------------------------------------------X...X-------X.......,...X----------------------------
----------------------------------------------------------------------------X...XXXXXXXXXXXXXXXXX...X----------------------------
----------------------------------------------------------------------------X...,.......X-------X...X----------------------------
----------------------------------------------------------------------------X...,.W.....X-------X...X----------------------------
----------------------------------------------------------------------------X...,.......X-------X...X----------------------------
----------------------------------------------------------------------------X...XXXXXXXXXXXXXXXXX...X----------------------------
----------------------------------------------------------------------------X...X-------X.......,...X----------------------------
----------------------------------------------------------------------------X...X-------X.:.....,...X----------------------------
----------------------------------------------------------------------------X...X-------X.......,...X----------------------------
----------------------------------------------------------------------------X...XXXXXXXXXXXXXXXXX...X----------------------------
----------------------------------------------------------------------------X...,.......X-------X...X----------------------------
----------------------------------------------------------------------------X...,.:.....X-------X...X----------------------------
----------------------------------------------------------------------------X...,.......X-------X...X----------------------------
----------------------------------------------------------------------------X...XXXXXXXXXXXXXXXXX...X----------------------------
----------------------------------------------------------------------------X...X-------X:......,...X----------------------------
----------------------------------------------------------------------------X...X-------X.......,...X----------------------------
----------------------------------------------------------------------------X...X-------X.......,.A.X----------------------------
----------------------------------------------------------------------------X,,,X-------XXXXXXXXX,,,X----------------------------
----------------------------------------------------------------------------X...X---------------X.A.X----------------------------
----------------------------------------------------------------------------X...X---------------XA..X----------------------------
----------------------------------------------------------------------------X...X---------------X..AX----------------------------
----------------------------------------------------XXXXXXXXXXXXXXXXXXXXXXXXX...X---------------X...XXXXXXXXXXXXXXXXXXXXXXXXX----
----------------------------------------------------X......A..A.....A.AAA.A.,...X---------------X.A.,...A.......A..A........X----
----------------------------------------------------XAA.A.A.A.AAAA.A.A...A..,...X---------------A..A,A.A.AAAAAAA..A...A.A.A.X----
----------------------------------------------------X....A..................,...X---------------X...,.......................X----
----------------------------------------------------X,A,XXXXXXXXXXXXXXXXXXXXXXXXX---------------XXXXXXXXXXXXXXXXXXXXXXXXXA,,X----
----------------------------------------------------X...X---------------------------------------------------------------X..AX----
----------------------------------------------------X...X---------------------------------------------------------------X...X----
----------------------------------------------------X.A.X---------------------------------------------------------------X.A.X----
----------------------------------------------------X...X---XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX---XA..X----
----------------------------------------------------XA..X---X.......................................................X---X...X----
----------------------------------------------------X...X---X.......................................................X---XA..X----
----------------------------------------------------XA..X---X.......................................................X---X...X----
----------------------------------------------------X...X---X...................,,,,,,,,,,,,,.......................X---X...X----
----------------------------------------------------X...X---X...................,........H..,.......................X---X.A.X----
----------------------------------------------------XA..X---X...................,....:......,.......................X---X...X----
----------------------------------------------------X...X---X...................,...........,.......................X---X...X----
----------------------------------------------------X...X---X..................,...........,........................X---X...X----
----------------------------------------------------XA..X---X..................,...........,........................X---X...X----
----------------------------------------------------X...X---X..................,,,,,,,,,,,,,........................X---X...X----
----------------------------------------------------X...X---X.......................................................X---X...X----
----------------------------------------------------XA..X---X...............,,,,,,,,,,,,,,,,,,,,,,,,,...............X---X...X----
----------------------------------------------------X...X---X...............,.......................,...............X---X...X----
----------------------------------------------------X...X---X...............,.......................,...............X---X...X----
----------------------------------------------------XA..X---X...............,.......................,...............X---X...X----
----------------------------------------------------X...X---X...............,.......................,...............X---X...X----
----------------------------------------------------X...X---X...............,.......................,...............X---X...X----
----------------------------------------------------XA..X---X...............,,,,,,,,,,,,,,,,,,,,,,,,,...............X---X...X----
----------------------------------------------------X...X---X.......................................................X---X...X----
----------------------------------------------------X...X---X.......,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.......X---X...X----
----------------------------------------------------X...X---X.......,.......................................,.......X---X...X----
----------------------------------------------------XA..X---X.......,.......................................,.......X---X...X----
----------------------------------------------------X...X---X.......,.......................................,.......X---X...X----
----------------------------------------------------X...X---X.......,.......................................,.......X---X...X----
----------------------------------------------------X...X---X.......,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.......X---X...X----
----------------------------------------------------X...X---X.......................................................X---X...X----
----------------------------------------------------X...X---X.......................................................X---X...X----
----------------------------------------------------X...XXXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XXXXX...X----
----------------------------------------------------X...,...,.......................................................,...,...X----
----------------------------------------------------X...,...,:....................................................:.,...,...X----
----------------------------------------------------X...,...,.......................................................,...,...X----
----------------------------------------------------XXXXXXXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XXXXXXXXX----
------------------------------------------------------------X.......,,,,,,,,,,,,,,,,,,,,,...........................X------------
------------------------------------------------------------X.......,....................,,,,,,,,,,,,,,,,,,,,.......X------------
------------------------------------------------------------X.......,.......................................,.......X------------
------------------------------------------------------------X.......,.......................................,.......X------------
------------------------------------------------------------X.......,.......................................,.......X------------
------------------------------------------------------------X.......,.......................................,.......X------------
------------------------------------------------------------X.......,.......................................,.......X------------
------------------------------------------------------------X.......,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.......X------------
------------------------------------------------------------X.......................................................X------------
------------------------------------------------------------X...............,,,,,,,,,,,,,...........................X------------
------------------------------------------------------------X...............,............,,,,,,,,,,,,...............X------------
------------------------------------------------------------X...............,.......................,...............X------------
------------------------------------------------------------X...............,.......................,...............X------------
------------------------------------------------------------X...............,.......................,...............X------------
------------------------------------------------------------X...............,.......................,...............X------------
------------------------------------------------------------X...............,,,,,,,,,,,,,,,,,,,,,,,,,...............X------------
------------------------------------------------------------X.......................................................X------------
------------------------------------------------------------X..................,,,,,,,,,,,,,,.......................X------------
------------------------------------------------------------X..................,............,.......................X------------
------------------------------------------------------------X..................,............,.......................X------------
------------------------------------------------------------X...................,...........,.......................X------------
------------------------------------------------------------X...................,...........,.......................X------------
------------------------------------------------------------X...................,,,,,,,.....,.......................X------------
------------------------------------------------------------X..........................,,,,,,.......................X------------
------------------------------------------------------------X.......................,,,.,...........................X------------
------------------------------------------------------------X.......................,...,...........................X------------
------------------------------------------------------------X.......................,...,...........................X------------
------------------------------------------------------------X.......................,...,...........................X------------
------------------------------------------------------------X.......................,...,...........................X------------
------------------------------------------------------------X.......................,:..,...........................X------------
------------------------------------------------------------X.......................,...,...........................X------------
------------------------------------------------------------XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX------------
